author_key,display_name,authorChannelId,n_comments,cluster,avg_len,reply_share,mean_likes,sent_mean,sent_std,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,sample_comment
UC-7gDBiHqii0tOAsesaTckQ,@SpaghettiTaco13,UC-7gDBiHqii0tOAsesaTckQ,1,2,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aishwarya Rai Bachchan👑
UC-VEqxRdCB6a3C_saGQVC-Q,@mitzihayes1275,UC-VEqxRdCB6a3C_saGQVC-Q,6,8,9.833333333333334,0.0,1.0,0.5927333333333333,0.31374175792627074,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,I Have Fair Skin I Just Want My Skin To Glow I Want To Look Radiant 💕 💞
UC-hvGjyJBOnvmY6Ibtj-z6A,@ashleyferguson488,UC-hvGjyJBOnvmY6Ibtj-z6A,1,1,1.0,0.0,0.0,0.6369,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Amazayn❤
UC-ovnenrFXNHgqTfPFvxxxg,@jacksonlopes6890,UC-ovnenrFXNHgqTfPFvxxxg,1,2,1.0,0.0,12.0,0.9274,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Anittaaaa❤❤❤
UC-xvXEUteU17aYuCaKsOBpA,@abbe1abbe156,UC-xvXEUteU17aYuCaKsOBpA,1,6,36.0,0.0,1.0,0.51,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"L&#39;Oréal,  this product would be more useful with a refillable cartridge.  Please get your designer to create one. I don&#39;t color my hair, but I would use it to apply my hair mask and other products."
UC00aeqQDOzt7hmis3gMUCTg,@sahilpathan6838,UC00aeqQDOzt7hmis3gMUCTg,1,3,21.0,0.0,0.0,0.296,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yeah, and with cricket, I spend a lot of time analyzing stats before placing any bets. It’s all about the strategy"
UC01RTmdpaXdODiPcwl0_v-w,@themayuriparmar,UC01RTmdpaXdODiPcwl0_v-w,1,1,14.0,0.0,24.0,0.9451,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Aishwarya walk like a lioness, she is stunning, beautiful, gorgeous, confident, she is queen."
UC0A8fymbz9k9US6Aszov_4Q,@lamoskgr,UC0A8fymbz9k9US6Aszov_4Q,1,6,9.0,0.0,4.0,0.8271,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,This will be a nightmare for curly hair 😂😂😂
UC0AsDm71-DQfRszbCWTmIJQ,@Freenbecky1999,UC0AsDm71-DQfRszbCWTmIJQ,1,0,8.0,0.0,79.0,0.9081,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,My favorite is Aishwarya Rai and  Becky Armstrong.❤❤
UC0SRIGRECb67V_P27H4tsGQ,@sammomsta,UC0SRIGRECb67V_P27H4tsGQ,1,4,8.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Does anyone know what color lipstick this is?
UC0W6cUHfe-00L6rFcYRdw7A,@088567511,UC0W6cUHfe-00L6rFcYRdw7A,1,2,18.0,0.0,0.0,0.9758,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Becky REBECCA Armstrong 🎉😂❤ soo good thank verry much L&#39;Oréal for this amazing graceful and stunning show ❤️
UC0YULcJr-3Y2OTqQdZ1MzKw,@giulias21,UC0YULcJr-3Y2OTqQdZ1MzKw,1,3,6.0,0.0,10.0,0.8221,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,So proud of you becky armstrong❤
UC0jEgTkigXVt7XsngJxLWlA,@VishalKushwaha-f3g,UC0jEgTkigXVt7XsngJxLWlA,1,4,6.0,0.0,0.0,0.8646,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aishwarya clothes is very different ❤❤
UC0nMSC5PQAPQOVqT_agaE8Q,@paulareilly912,UC0nMSC5PQAPQOVqT_agaE8Q,1,4,10.0,0.0,3.0,0.3612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,What if you wanted to stay blonde like you were?
UC196U7ZINpS2b9wMLUqc0uw,@sarrveshgunandran2913,UC196U7ZINpS2b9wMLUqc0uw,1,7,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Aishwarya Rai Bachchan !!! OMG
UC1MHAmMi54aZF3I4WYXCNiA,@messue428,UC1MHAmMi54aZF3I4WYXCNiA,1,4,3.0,0.0,0.0,0.5994,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,She looks beautiful
UC1NQVKK1qYcA3WKfPnHzkLg,@denisecook5640,UC1NQVKK1qYcA3WKfPnHzkLg,1,7,5.0,0.0,3.0,0.802,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Love her wild sweet personality
UC1_7qvqz6Rex2PM4BDha6oA,@carlamampolino621,UC1_7qvqz6Rex2PM4BDha6oA,1,3,4.0,0.0,1.0,0.9576,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pia!!!!❤❤❤ proud pinoy here!
UC1guZuYFz_ZSqDvoJ-Hhx_w,@rosedannajoseph196,UC1guZuYFz_ZSqDvoJ-Hhx_w,1,2,5.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I just got mines today
UC1ny_OQmdDUAadrEDJvD-tA,@JaimeeRae,UC1ny_OQmdDUAadrEDJvD-tA,2,8,4.5,0.0,1.5,0.23835,0.33707780259162723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Loveee the iced coffee makeup look 🤎
