commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply
UgxtwKzBEF__wAo6f3h4AaABAg,_pO7BRNdJdc,,,,@TRJ17MSS,UC11tr8HMFcViMJOnchb5kbw,never stop playing mate,2025-09-25T18:49:50Z,2025-09-25T18:49:50Z,0,1,,False
UgzCI6ct94OBI59LxNB4AaABAg,_pO7BRNdJdc,,,,@moxxi5921,UCfOdu2F-bG9ZXY4Nl_rOMjw,my kawaii goat,2025-09-25T17:19:16Z,2025-09-25T17:19:16Z,0,0,,False
Ugy-eO7OGkaTxHxLrGF4AaABAg,_pO7BRNdJdc,,,,@SwaggieSteve,UCrcrgAyqxt73ogygeTaZWxw,thought the thumbnail was john lithgow,2025-09-25T15:17:44Z,2025-09-25T15:17:44Z,1,1,,False
UgzrDHBxf7GXCw18qTd4AaABAg,_pO7BRNdJdc,,,,@hahahaha4291-b5j,UCZIx1PC9pmhqebVqqOgrXlQ,这是月琴吗？,2025-09-25T14:41:25Z,2025-09-25T14:41:25Z,0,0,,False
UgwXd96hgLFLgphukpZ4AaABAg,_pO7BRNdJdc,,,,@nerorerer2258,UC1JahYIok8CLP_5b0V7AMCA,fuck yes,2025-09-25T14:31:34Z,2025-09-25T14:31:34Z,0,0,,False
UgyB8TbD3yAuX1VJtQd4AaABAg,_pO7BRNdJdc,,,,@ayankarmakar6866,UCuLwtYG4ri0Nb0_YkCdmk_w,What 1 scoop of that Lao Gan Ma did to John Cena:,2025-09-25T13:41:10Z,2025-09-25T13:41:10Z,1,0,,False
Ugx013sYRCmxGEOwEHt4AaABAg,_pO7BRNdJdc,,,,@zigma2734,UC60KnYstoXMv23O20gwiwJA,Music to listen to when you&#39;re fighting against the Anhui Clique,2025-09-25T12:35:09Z,2025-09-25T12:35:09Z,0,0,,False
UgzXUG4UHgtDQqwx05R4AaABAg,_pO7BRNdJdc,,,,@tonyzep966,UCbGmynvrHqKqka-ic86Pn0w,"I have no knowledge about music theory so if there&#39;s anything I said wrong please pardon me... Liuqin is a traditional instrument while sir your composition sounds a little bit modern style, that&#39;s interesting to me 😄 Anyway, it&#39;s a beautiful song ❤",2025-09-25T12:14:00Z,2025-09-25T12:14:00Z,0,1,,False
UgyU4QhT5j8CQI7dqlN4AaABAg,_pO7BRNdJdc,,,,@sam_exe9028,UCGA-zHsmHuBkF3USRscJAfw,"好听,真厉害",2025-09-25T11:41:48Z,2025-09-25T11:41:48Z,0,0,,False
Ugybr24l4WkyO9M6wcl4AaABAg,_pO7BRNdJdc,,,,@LiLinll,UCOYMNA7riFV0FUumK888WbQ,crazy,2025-09-25T11:03:53Z,2025-09-25T11:03:53Z,0,0,,False
UgzQZjFna7ZzxdZ-I814AaABAg,_pO7BRNdJdc,,,,@DizzyHamler,UCyO2Y3BwfEF6mU2QL_uLtqQ,这是满清，不是中国,2025-09-25T09:55:24Z,2025-09-25T09:55:24Z,0,0,,False
Ugy0c0NRh54XUPbaPi94AaABAg,_pO7BRNdJdc,,,,@alonsocote,UCwM8eoWDVPQMQTryPMTF4Ig,"highest glory to the CCP my Brother, greetings from Zhantiagou Xhile, China.",2025-09-25T07:49:36Z,2025-09-25T07:49:36Z,0,0,,False
UgwMSwVjtK0pWz5cbSp4AaABAg,_pO7BRNdJdc,,,,@floppa_silly_vids,UCNty2tKSAYF7YjWCx738EsA,John Pork,2025-09-25T07:05:31Z,2025-09-25T07:05:31Z,0,0,,False
UgxGyo26FeAm57g4grt4AaABAg,_pO7BRNdJdc,,,,@thecopecorner9648,UCPCN0ZCOBkH-wt0KrK1VpGw,goat,2025-09-25T07:02:38Z,2025-09-25T07:02:38Z,0,0,,False
UgyBRXTUYvm7NFxIiPd4AaABAg,_pO7BRNdJdc,,,,@TheLibraryofLetourneau,UC_O58Rr2DOskJvs9bArpLkQ,"you alright sometimes youtube algorithm, i just didnt expect it to be chinese",2025-09-25T06:08:52Z,2025-09-25T06:08:52Z,0,0,,False
UgwxDhayVGNQz6bPBDp4AaABAg,_pO7BRNdJdc,,,,@user-AndrewHuang,UCJfE_8EY1LG2gs00e30sCyA,您彈得非常的好呢!相信您的廈門朋友也會很喜歡的!,2025-09-25T05:59:54Z,2025-09-25T05:59:54Z,0,0,,False
Ugz5oEqZEIP9lxrqNPR4AaABAg,_pO7BRNdJdc,,,,@meowmeow7354,UCL5xyXiZ3lm0PXtNyWJFcPw,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/E8MfY5u7JPSXkNAP95GAmAE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/E8MfY5u7JPSXkNAP95GAmAE""></a>",2025-09-25T04:36:23Z,2025-09-25T04:36:23Z,0,0,,False
UgxmwVdgpQWfh1wdUKh4AaABAg,_pO7BRNdJdc,,,,@matiasnasho,UC5802tjaRtst27CnOaDDS1w,"temazo, saludos desde Tal&#39;KA, vietnam 🤧🤧🤧",2025-09-25T03:23:35Z,2025-09-25T03:23:35Z,0,0,,False
UgzAYUnsK-OTSAea4NN4AaABAg,_pO7BRNdJdc,,,,@KyneGG,UCk8I_2CvirET2o0EydIMmNg,Now this was peak<br>叔叔你太酷了!,2025-09-25T02:46:38Z,2025-09-25T02:46:45Z,0,0,,False
Ugyz33hOHdRnwz9EpIB4AaABAg,_pO7BRNdJdc,,,,@thedoublebjj8253,UC3EXt-tgmSbU0m-OYH6v8Rg,where did you acquire such a beautifully crafted instrument,2025-09-25T01:55:52Z,2025-09-25T01:55:52Z,1,1,,False
UgxKs26d7ywbWIwzyAl4AaABAg,_pO7BRNdJdc,,,,@ronaldjohnson5695,UC2G4gegbXr53uCt4CgOjCPg,"To be fair, it&#39;s both beautiful and original. Well played mate.",2025-09-25T01:16:14Z,2025-09-25T01:16:14Z,0,1,,False
UgwiZbW_0Bc4FxTZrp14AaABAg,_pO7BRNdJdc,,,,@tenzinmatson5274,UCdovMlS3gVLtRBvz9EumNYg,Wait a second hold on brother did you write this? I can’t find a song remotely sounding like this on Spotify and just noticed your Chanel’s name 😂,2025-09-25T00:40:43Z,2025-09-25T00:40:43Z,0,1,,False
Ugyj7-tfAB3nAN4FK-d4AaABAg,_pO7BRNdJdc,,,,@nigthh666,UCzSuP9aw4CtTC9ZlsFkNcNg,wow beatiful talent are u  the father of mj,2025-09-25T00:02:32Z,2025-09-25T00:02:32Z,0,0,,False
Ugyz2dwHpOscFiHf12J4AaABAg,_pO7BRNdJdc,,,,@slabbadanks5829,UCjLX9SuvdsS9sbtq3MQhHcw,shredding it bruv.,2025-09-24T23:41:01Z,2025-09-24T23:41:01Z,0,0,,False
UgxXO_-gNsmB5C7X9HB4AaABAg,_pO7BRNdJdc,,,,@andreaspe5762,UCUTyPtIs-H761S3-oueP2HQ,Youtube is finally doing what it&#39;s supposed to do,2025-09-24T22:34:27Z,2025-09-24T22:34:27Z,0,0,,False
UgwK0EPuftfI23vfCmF4AaABAg,_pO7BRNdJdc,,,,@piotrroguski9420,UC6lX4W4aSDczg6TrA7Byakw,banger shout out China,2025-09-24T22:27:17Z,2025-09-24T22:27:17Z,0,0,,False
Ugwm0cwEfQiL_eP6Kxl4AaABAg,_pO7BRNdJdc,,,,@toffeeve,UC0JRgn2m5Hwra2p9rLmP08g,thats fire grandpa,2025-09-24T22:26:14Z,2025-09-24T22:26:14Z,0,0,,False
UgwJ1koEZzzrHdWX5iR4AaABAg,_pO7BRNdJdc,,,,@2006SubaruLegacy,UC75-2kjs1j7IUiPGwGY9vfw,god bless the peoples republic of china,2025-09-24T22:11:20Z,2025-09-24T22:11:20Z,0,0,,False
UgxSibrxolnik1E6PZN4AaABAg,_pO7BRNdJdc,,,,@puesnoloseee,UCz9gA5XYacBfWkxgqMT6cog,I LOVE U,2025-09-24T21:45:16Z,2025-09-24T21:45:16Z,0,0,,False
UgywfuDUG_VPZPlD0XV4AaABAg,_pO7BRNdJdc,,,,@zane2go,UCRfIoRIoaXJy9PvgvyuFsbA,I was enchanted by this! thank you!,2025-09-24T21:21:42Z,2025-09-24T21:21:42Z,1,0,,False
Ugxxu5vByZ6xHT2CLlt4AaABAg,_pO7BRNdJdc,,,,@marcusmarcusmarcus,UCY1dQAr2IYrFQQIhKCcJLUw,very beautiful john,2025-09-24T20:55:56Z,2025-09-24T20:55:56Z,0,0,,False
UgzmGGOewzLY8qWxsrp4AaABAg,_pO7BRNdJdc,,,,@alicelfpc5735,UCVLBCw2ItycPq_wFlWjHjZw,Yes Youtube I AM interested into this kind of video. Love the ethusiasm and this instrument is beautiful !,2025-09-24T20:42:46Z,2025-09-24T20:42:46Z,0,1,,False
Ugw_bYVtFLuc7NmDcw54AaABAg,_pO7BRNdJdc,,,,@Mel-mp3ws,UC0zXAiSK_X2ACx9j-8Of3hQ,i love seeing people embrace other cultures ❤❤,2025-09-24T20:39:36Z,2025-09-24T20:39:36Z,0,2,,False
UgwR1_3hTAdTZUbp6RR4AaABAg,_pO7BRNdJdc,,,,@danielbadi261,UChRwvA1HHPYiihRqeQFJKtw,Thanks to you i love china,2025-09-24T20:22:39Z,2025-09-24T20:22:39Z,0,1,,False
UgyvnBV0KKo4-xTIFx14AaABAg,_pO7BRNdJdc,,,,@mar0514,UCO1EDr5hP-xPLh419QZBJLQ,su canal es increible señor. saludos desde san luis capital argentina,2025-09-24T20:02:23Z,2025-09-24T20:02:23Z,0,1,,False
Ugwnt8N1OLW47f3z1_B4AaABAg,_pO7BRNdJdc,,,,@Just-a-Scottish-person,UCFwKCiKo-09hv-lfbqGm9tQ,我很喜欢他的音乐！ so rare to find such talent on YouTube these days,2025-09-24T19:42:00Z,2025-09-24T19:42:00Z,0,1,,False
Ugzd45L300JUsgkAN_94AaABAg,_pO7BRNdJdc,,,,@tequila-fz3sy,UCPieMM6m1XCC156cmiCBI3Q,"Wow, just saw my hometown’s name on YouTube’s homepage. So cool! Thanks for the music, it totally captures the Xiamen vibe lol.",2025-09-24T19:16:40Z,2025-09-24T19:16:40Z,0,0,,False
UgwmXnDS0ke3l9ll5el4AaABAg,_pO7BRNdJdc,,,,@beatrice7072,UC4fnI0F3FKFKKZYDOsUjNOQ,Lovely instrument and music! Thanks for sharing❤️,2025-09-24T19:08:08Z,2025-09-24T19:08:08Z,0,1,,False
UgxBddJUfdti64jlDCN4AaABAg,_pO7BRNdJdc,,,,@sunzanh,UCNYGyMRVQBWL8gpKcWWYHRA,This is amazing! Keep it up. Love to hear your talent.,2025-09-24T18:50:24Z,2025-09-24T18:50:24Z,0,0,,False
Ugyadnyk1kvhlBvEVSZ4AaABAg,_pO7BRNdJdc,,,,@yoghurtmoo9342,UCy0_kviHbdn9_wfgTVAR0yg,I’ve never felt so connected to a random person.,2025-09-24T18:49:32Z,2025-09-24T18:49:32Z,0,0,,False
UgwycKUTfNgdy72U63J4AaABAg,_pO7BRNdJdc,,,,@christiankim5097,UCBGgOAcnr0UKnbEIVEQehAw,Keep Going Brother! I am loving it :),2025-09-24T17:28:30Z,2025-09-24T17:28:30Z,0,1,,False
UgyYgs7fWzEbZFwxKx54AaABAg,_pO7BRNdJdc,,,,@shelbythisisaresidentialar5397,UCfjfFoLmnREVYqLfK2ZVd_Q,非常漂亮 John Peck学生！！！,2025-09-24T16:58:50Z,2025-09-24T16:58:50Z,0,0,,False
UgxoF2s9DIM_JJQymCZ4AaABAg,_pO7BRNdJdc,,,,@fishy977,UCezSceq74HWcAtoQvG8aqMA,First time seeing the pipa played in this manner! It sounds really nice though.,2025-09-24T16:57:43Z,2025-09-24T16:57:43Z,0,0,,False
UgyIDS8_WBWiZW0XyR14AaABAg,_pO7BRNdJdc,,,,@ChrisRockJr1,UCqF7nOUJHXiK1nV6Ga2ezww,+10000000000 social credits.,2025-09-24T16:39:18Z,2025-09-24T16:39:18Z,0,0,,False
UgxsV_u9P3dcUprvly94AaABAg,_pO7BRNdJdc,,,,@WAFBLOEF,UC66EL8jvVaUk4KPciOy5Lbw,"Thanks John Peck, as a chinese this is great",2025-09-24T16:38:35Z,2025-09-24T16:38:35Z,0,1,,False
UgxDUDtdD1lhZJ4oGbt4AaABAg,_pO7BRNdJdc,,,,@prettypo,UCRNUd4B-OYScBdjQz1WtIFA,真好听！🎉,2025-09-24T16:33:08Z,2025-09-24T16:33:08Z,0,0,,False
Ugw_NHSa4pNKEh06qg14AaABAg,_pO7BRNdJdc,,,,@JeffreyDahmer-i9p,UCGukKi1aCM51C85OgSf8iIA,this is insanely good,2025-09-24T15:54:09Z,2025-09-24T15:54:09Z,0,0,,False
UgyxKdmtCskX3cu3OfJ4AaABAg,_pO7BRNdJdc,,,,@bleku__732,UCrcPUXVuYbtVT1LXlED0qlQ,lovely song,2025-09-24T15:24:50Z,2025-09-24T15:24:50Z,0,0,,False
UgyLEakHCubv_Y5GQz14AaABAg,_pO7BRNdJdc,,,,@Sospechoso,UCGxONCwb80PMQxrCg0bLO0w,que interesante instrumento,2025-09-24T15:08:32Z,2025-09-24T15:08:32Z,0,0,,False
