commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply,text_translated,deepl_detected_source_lang
UgxtwKzBEF__wAo6f3h4AaABAg,_pO7BRNdJdc,,,,@TRJ17MSS,UC11tr8HMFcViMJOnchb5kbw,never stop playing mate,2025-09-25T18:49:50Z,2025-09-25T18:49:50Z,0,1,,False,"ne jamais cesser de jouer, mon ami",EN
UgzCI6ct94OBI59LxNB4AaABAg,_pO7BRNdJdc,,,,@moxxi5921,UCfOdu2F-bG9ZXY4Nl_rOMjw,my kawaii goat,2025-09-25T17:19:16Z,2025-09-25T17:19:16Z,0,0,,False,ma chèvre kawaii,PL
Ugy-eO7OGkaTxHxLrGF4AaABAg,_pO7BRNdJdc,,,,@SwaggieSteve,UCrcrgAyqxt73ogygeTaZWxw,thought the thumbnail was john lithgow,2025-09-25T15:17:44Z,2025-09-25T15:17:44Z,1,1,,False,j'ai cru que la vignette était celle de John Lithgow,EN
UgzrDHBxf7GXCw18qTd4AaABAg,_pO7BRNdJdc,,,,@hahahaha4291-b5j,UCZIx1PC9pmhqebVqqOgrXlQ,这是月琴吗？,2025-09-25T14:41:25Z,2025-09-25T14:41:25Z,0,0,,False,S'agit-il d'un piano lunaire ?,ZH
UgwXd96hgLFLgphukpZ4AaABAg,_pO7BRNdJdc,,,,@nerorerer2258,UC1JahYIok8CLP_5b0V7AMCA,fuck yes,2025-09-25T14:31:34Z,2025-09-25T14:31:34Z,0,0,,False,putain oui,EN
UgyB8TbD3yAuX1VJtQd4AaABAg,_pO7BRNdJdc,,,,@ayankarmakar6866,UCuLwtYG4ri0Nb0_YkCdmk_w,What 1 scoop of that Lao Gan Ma did to John Cena:,2025-09-25T13:41:10Z,2025-09-25T13:41:10Z,1,0,,False,Ce qu'une dose de Lao Gan Ma a fait à John Cena :,EN
Ugx013sYRCmxGEOwEHt4AaABAg,_pO7BRNdJdc,,,,@zigma2734,UC60KnYstoXMv23O20gwiwJA,Music to listen to when you&#39;re fighting against the Anhui Clique,2025-09-25T12:35:09Z,2025-09-25T12:35:09Z,0,0,,False,Musique à écouter lorsque vous luttez contre la clique d&#39;Anhui,EN
UgzXUG4UHgtDQqwx05R4AaABAg,_pO7BRNdJdc,,,,@tonyzep966,UCbGmynvrHqKqka-ic86Pn0w,"I have no knowledge about music theory so if there&#39;s anything I said wrong please pardon me... Liuqin is a traditional instrument while sir your composition sounds a little bit modern style, that&#39;s interesting to me 😄 Anyway, it&#39;s a beautiful song ❤",2025-09-25T12:14:00Z,2025-09-25T12:14:00Z,0,1,,False,"Je n&#39;ai aucune connaissance en théorie musicale, donc si j&#39;ai dit quelque chose de faux, veuillez m&#39;excuser... Le Liuqin est un instrument traditionnel alors que monsieur votre composition sonne un peu moderne, c&#39;est intéressant pour moi 😄 Quoi qu&#39;il en soit, c&#39;est une belle chanson ❤",EN
UgyU4QhT5j8CQI7dqlN4AaABAg,_pO7BRNdJdc,,,,@sam_exe9028,UCGA-zHsmHuBkF3USRscJAfw,"好听,真厉害",2025-09-25T11:41:48Z,2025-09-25T11:41:48Z,0,0,,False,C'est très bien.,ZH
Ugybr24l4WkyO9M6wcl4AaABAg,_pO7BRNdJdc,,,,@LiLinll,UCOYMNA7riFV0FUumK888WbQ,crazy,2025-09-25T11:03:53Z,2025-09-25T11:03:53Z,0,0,,False,fou,IT
