commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply
UgxphTcftPmDXOa4Red4AaABAg,aIu7mBE3pQA,La Culture de L’Écart – Manifesto - Season 3 – 2025,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@TallesSouza,UCddfnEHZLuzGkAEGBTAAsJA,😍👏🏻,2025-09-23T15:37:41Z,2025-09-23T15:37:41Z,0,0,,False
UgxJEl6whq62wyyEzI14AaABAg,DPr8kfvFhsk,La Culture de L’Écart – Chasing The Extraordinary - Season 3 – 2025,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@thelearninglabLMS,UCNWXG9mBq5dvVyn4qjPsNIA,"Magnifique. Culture is the invisible fabric that shapes how we create, connect, and give meaning to the world — it is both our heritage and our future. Extraordinaire!",2025-09-23T19:30:45Z,2025-09-23T19:30:45Z,1,0,,False
UgxB3Ju31ZgitQOH3Ox4AaABAg,EbDWzPd8DVs,L&#39;Oréal Rapport Annuel 2024 - REVEAL (FR),UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@sdpvrtoh-oz3279,UCgsJQBIMejAPOgRMenP9LwQ,"💃 Podium <a href=""https://www.youtube.com/shorts/h07HaGKx0Ao"">https://youtube.com/shorts/h07HaGKx0Ao?feature=shared</a>",2025-06-08T00:35:06Z,2025-06-08T00:35:06Z,1,0,,False
UgxnD6A-VoI_rIg7ta14AaABAg,Uphg2vBVtYk,L&#39;Oréal Annual Report 2024 - REVEAL (EN),UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@lastdecember291,UCx0gysTNFPmrlYTQJ6P1yMA,❤,2025-03-31T12:02:26Z,2025-03-31T12:02:26Z,0,0,,False
UgyI6N-CrP4tDXkw_gB4AaABAg,AJXIyOwSPpo,"Rapport Annuel 2024  - Alexis Perakis-Valat, Directeur Général, Produits Grand Public",UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@popofsergei8766,UCRzhwXmMCFPIxPxlxg5dGig,"toute nul votre pub, homme, blanc, viueux en plus...",2025-06-09T17:33:17Z,2025-06-09T17:33:17Z,0,0,,False
UgxaMy6FeYJazFNruTh4AaABAg,AJXIyOwSPpo,"Rapport Annuel 2024  - Alexis Perakis-Valat, Directeur Général, Produits Grand Public",UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@urielnathanaeldanho906,UCk1svgi8v44gNjIoeLsehYA,Très inspirant,2025-03-29T13:02:33Z,2025-03-29T13:02:33Z,0,0,,False
Ugz6VATf_T2ZgRP0wEd4AaABAg,biuuePmbi5E,"Rapport Annuel 2024 de L&#39;Oréal - Interview de Cyril Chapuy, Directeur Général, Luxe",UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@micheleversini3019,UCvhfYU-4MVK1vi0Zqe8emhg,LA CULTURE DE L&#39;ÉCART<br>🚳<br>🚷<br>🛂<br>🚻<br>🛅<br>🚮,2025-09-15T08:04:53Z,2025-09-15T08:04:53Z,0,0,,False
UgyHzjTC9tBeQQOCFW94AaABAg,yw-Md3oiHec,"Rapport Annuel 2024 de L&#39;Oréal - Interview de Nicolas Hieronimus, Directeur Général",UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@urielnathanaeldanho906,UCk1svgi8v44gNjIoeLsehYA,Très bon bilan,2025-03-29T13:06:31Z,2025-03-29T13:06:31Z,0,0,,False
UgyeoaY2ZRwRfq6kLrN4AaABAg,CB2ImuG3FYs,"Rapport Annuel 2024 de L&#39;Oréal - Myriam Cohen-Welgryn, Directrice Générale, Beauté Dermatologique",UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@mathieuchambon2790,UCfeChCi4lY7hecKnuVRWjzw,Bravo à L&#39;Oréal pour toutes ces innovations qui se traduisent dans les résultats. Je suis un homme et utilise vos produits pour mon visage et suis satisfait. J&#39;espere que vous pourrez développer de nouveaux produits pour le visage des hommes.,2025-05-29T02:33:48Z,2025-05-29T02:33:48Z,0,0,,False
UgzC59dij7vjL_lyYL94AaABAg,0C7PdBB0ERk,"L&#39;Oréal 2024 Annual Report - Interview Alexis Perakis-Valat - President, Consumer Products",UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@kapka6700,UC4RkbMNGMlfFhK5HfZ9lKLw,795k views and no comments..?,2025-08-21T05:45:59Z,2025-08-21T05:45:59Z,1,0,,False
UgxE5f212sJl2Ave_dR4AaABAg,x5fF3lC_H4A,Madeleine - The forgotten black Mona Lisa,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@FredericBonn-i2y,UC7XYq89gkoSOFnUNpGhYRpg,"Why reduce the artist to only her last name? The painter is Marie-Guillemine Benoist, not clear in your end card, why did you write ‘Portait of Madeleine, Benoist’ Esther than ‘Portrait of Madeleine by Marie-Guillemine Benoist’",2025-04-11T22:50:20Z,2025-04-11T22:50:20Z,0,0,,False
UgzoBF1GCt2kSmT02XV4AaABAg,x5fF3lC_H4A,Madeleine - The forgotten black Mona Lisa,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@jameslatham1110,UCWqqtVjfZUH_OuAGD_-cJcg,Its a good painting but damn if this isn&#39;t pretentious.,2025-03-28T14:05:31Z,2025-03-28T14:05:31Z,4,0,,False
UgzSV0W3P2QC6mx01eN4AaABAg,gHmLn97Aafo,de toutes beautés! :  The webseries - Teaser,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@meryrosa2126,UCbbTG1nnhYnv9fY3aEiskkg,😊,2025-08-08T10:49:43Z,2025-08-08T10:49:43Z,0,0,,False
Ugw-RuXJ_c4c2ZGM1Gh4AaABAg,xQYYhrUn1BE,The Woman with a mirror - Perhaps too perfect?,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@LionelFanni,UCSkpdR3XvEIBeFJMMACxd5Q,"Non, ils ne réfléchissait pas, ça existait en tant que tels<br>Sauf que la médecine ne tranchant pas sur le sexe. C&#39;était la nature",2025-03-26T23:04:59Z,2025-03-26T23:04:59Z,0,0,,False
Ugzazi0ZaG6wzncMOIR4AaABAg,o6g827aVizs,The Hermaphrodite - Beauty has no gender,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@laurentdewacket9907,UCSGdE8PcGx7lnGEq-_oFLeQ,Quelle est la musique de fond de ces épisodes ?,2025-04-26T15:14:24Z,2025-04-26T15:14:24Z,0,0,,False
UgyeglLsHopxhl9WA114AaABAg,o6g827aVizs,The Hermaphrodite - Beauty has no gender,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@Doriamonroountryy,UCvSsP6QflwicAy5r9U3-QLQ,Iam the mighty Hermaphrodite,2025-04-07T07:27:46Z,2025-04-07T07:27:46Z,0,0,,False
UgxsrpLGJqLf1VXQpad4AaABAg,PJlKHLop6GM,The Assyrians - Warriors with style,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@LionelFanni,UCSkpdR3XvEIBeFJMMACxd5Q,"Vos paroles sont magnifiques, à tous 🙏♥️",2025-03-26T23:10:12Z,2025-03-26T23:10:12Z,1,0,,False
Ugx4pgR4dJYimwJ2uI14AaABAg,BYz7xdWWXL4,The Art &amp; Science of Fragrance - Episode 4: Shaping the Dream,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@franciscoruiz4602,UCuUbSEnDJGiGe4zsWbCr8Cg,💥 Promo-SM,2024-03-14T08:49:08Z,2024-03-14T08:49:08Z,0,0,,False
UgzyIOOdayWrFRfsp5B4AaABAg,BYz7xdWWXL4,The Art &amp; Science of Fragrance - Episode 4: Shaping the Dream,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@TallesSouza,UCddfnEHZLuzGkAEGBTAAsJA,"I like perfumes like Poison Dior and Angel Mugler, they are very strong and intense. which last many hours for a full day of work.",2024-02-16T12:22:05Z,2024-02-16T12:22:05Z,0,0,,False
UgwKc8OumnPeoQk_TlJ4AaABAg,-QOjBHwdc3E,The Art &amp; Science of Fragrance - Episode 1: Crafting the Ingredient,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@yaniscosta___,UCCB-wH1tMHL9qGrFLRZJonQ,😮❤,2024-03-20T10:29:16Z,2024-03-20T10:29:16Z,1,0,,False
Ugz6koLIqi-AJHHOUdR4AaABAg,pjrLu8LVQNI,The Art &amp; Science of Fragrance - The Manifesto,UCgmvz6qxtga4W6n1mfmM0Zw,L'Oréal Groupe,@TallesSouza,UCddfnEHZLuzGkAEGBTAAsJA,Beautiful and Powerful I love and am a big fan of Loreal and its subsidiary brands,2024-02-16T12:04:55Z,2024-02-16T12:04:55Z,0,0,,False
