commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply,text_translated,deepl_detected_source_lang
UgyZlnBVYrLZ-OKydxl4AaABAg,NdmVW44oMMA,[NOUVEAU] Skin Ink - Fond de teint correcteur,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@Олимпия2996,UCxVJOnXD64LqfpxkkW4bhdQ,Love Cara💙💖,2025-09-28T10:16:30Z,2025-09-28T10:16:30Z,0,0,,False,Love Cara💙💖💖,EN
Ugzexb4w5rwdQKopFw54AaABAg,NdmVW44oMMA,[NOUVEAU] Skin Ink - Fond de teint correcteur,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@Frenchgirlglam,UCA9Rwst2B9uQYuV1NFyRB1g,Il faut trop que je le teste pour compléter ma routine combo Revitalift et briht reveal 😍,2025-08-20T12:01:44Z,2025-08-20T12:01:44Z,0,0,,False,Il faut trop que je le teste pour compléter ma routine combo Revitalift et briht reveal 😍,FR
UgyoyA3Bpmy4K8xcTUR4AaABAg,sq91oHD4GR8,[NOUVEAU] INFAILLIBLE LAQUE RESISTANCE - Rouge à lèvres liquide fini laqué,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@DiljeetbhardwajSharma,UCuZZLEgA4QWfM7hx1ObQ6yw,OOH BABY FOLLOW UP BAS YUNHI KARTI RAHO TUM TRY AGAIN 👀❣️,2025-09-05T11:35:03Z,2025-09-05T11:35:03Z,0,0,,False,OOH BABY FOLLOW UP BAS YUNHI KARTI RAHO TUM TRY AGAIN 👀❣️,EN
Ugwof5NenZMMRX4NTGN4AaABAg,sq91oHD4GR8,[NOUVEAU] INFAILLIBLE LAQUE RESISTANCE - Rouge à lèvres liquide fini laqué,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@Frenchgirlglam,UCA9Rwst2B9uQYuV1NFyRB1g,Incroyable 😮❤,2025-08-20T11:52:32Z,2025-08-20T11:52:32Z,1,0,,False,Incroyable 😮❤,FR
Ugxdom7vRaoQJODBTZ54AaABAg,1NJosUnbxQk,[LUMI GLOTION] Fluide enlumineur éclat,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@RoseNoire-v6w,UCRjPXhdlkjLl2gOeRrFOzsA,Waouh ! 😍,2025-06-02T08:06:49Z,2025-06-02T08:06:49Z,0,0,,False,Waouh ! 😍,IT
UgxlvRvlYMG8XncS7NN4AaABAg,pSYpjiaxppg,[LUMI GLOTION] Fluide enlumineur éclat,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@RoseNoire-v6w,UCRjPXhdlkjLl2gOeRrFOzsA,❤,2025-06-02T08:41:47Z,2025-06-02T08:41:47Z,1,0,,False,❤,EN
UgxzFP_KdNnC3Vxe-Vp4AaABAg,9NRN9EqK5cY,[LUMI GLOTION] Fluide enlumineur éclat,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@JustineOrosco,UCnvVdsaIOqndoj5WbrMOuEw,"Bonjour, je m’appelle Justin toi ta sœur c’est moi ta femme de toi IDL",2025-07-23T20:23:38Z,2025-07-23T20:23:38Z,1,0,,False,"Bonjour, je m’appelle Justin toi ta sœur c’est moi ta femme de toi IDL",FR
Ugwge0MRfVPyQMGd2N94AaABAg,9NRN9EqK5cY,[LUMI GLOTION] Fluide enlumineur éclat,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@JustineOrosco,UCnvVdsaIOqndoj5WbrMOuEw,JUSTNIE ❤❤❤❤❤👩🇫🇷🇪🇸💋💋,2025-07-23T20:19:31Z,2025-07-23T20:19:31Z,1,0,,False,JUSTNIE ❤❤❤❤❤👩🇫🇷🇪🇸💋💋💋,EN
UgwNFZCDfH87v3HzeHF4AaABAg,r6kxiOJxrn0,[LESSON OF WORTH] EVA LONGORIA,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@simeondavid9537,UCOcFu8a6Fo5DGtocJy9djIw,I love you ❤❤❤❤,2025-09-29T18:28:42Z,2025-09-29T18:28:42Z,0,0,,False,Je t'aime ❤❤❤❤,EN
Ugx7ggKXFntIzbEDeD54AaABAg,N42nUsX889U,[NOUVEAU] Huile à lèvres repulpante Plump Ambition 💄✨🩷 de L’Oréal Paris,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@Devienterprises-g1l,UCpPwlUbpmff1wsnGS_Kz0Iw,Français (France),2025-08-27T15:32:50Z,2025-08-27T15:32:50Z,1,0,,False,Français (France),FR
UgzbKEH8KY8JQn574f94AaABAg,6dpJjSgd0Ow,Nouveau Revitalift Filler : la peau est repulpée pour 7 jours.,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@Frenchgirlglam,UCA9Rwst2B9uQYuV1NFyRB1g,☺️ hâte de le tester,2025-08-03T19:03:03Z,2025-08-03T19:03:03Z,0,0,,False,☺️ hâte de le tester,FR
UgzjhgUZKWNq9ZBXGfJ4AaABAg,6dpJjSgd0Ow,Nouveau Revitalift Filler : la peau est repulpée pour 7 jours.,UCjgOxNP15FxIYknHYgUBUMQ,L'Oréal Paris France,@Ilisan-al-gaib,UCv6fHWIPBx8gBlLEfoj5yJA,"What a great innovation, always giving the best. Great products. Greetings from Chile 👌",2025-04-08T03:19:48Z,2025-04-08T03:19:48Z,1,0,,False,"Quelle grande innovation, toujours le meilleur. Excellents produits. Salutations du Chili 👌",EN
