commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply,text_translated,deepl_detected_source_lang
UgwOqLLe1gEsItzty194AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@RishikaSharma-h7s8i,UC8SOUoShf2Hnzltez3A3xNg,Bro indians its so much proud to have divyasriii and Aishwarya Raiiiii <br>Like oh my god breathtaking performance ❤❤❤❤❤🎉🎉🎉🎉🎉,2025-10-03T14:16:53Z,2025-10-03T14:16:53Z,0,0,,False,Bro indians its so much proud to have divyasriii and Aishwarya Raiiiii <br>Like oh my god breathtaking performance ❤❤❤❤❤🎉🎉🎉🎉🎉,EN
UgxOMRaKJQQB6XqakRJ4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@rania6731,UCHphmrXZPpsn0Ahj01ME1nw,Yassmine Sabry omg she is stunning,2025-10-03T13:42:40Z,2025-10-03T13:42:40Z,0,0,,False,Yassmine Sabry omg elle est magnifique,EN
Ugxa7I9H6cODz0RGpth4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@MDAraf-wv2nw,UCiIBVm2zbV0qZIF9Mg7k86A,Aishwarya ray❤❤❤❤,2025-10-03T07:23:52Z,2025-10-03T07:23:52Z,0,0,,False,Aishwarya ray❤❤❤❤,ID
UgyA21JVC8NQj3r17Od4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@theattitude-z7i,UCdaeq5CHuJH6_zN8rRp43lA,Rebecca Patricia Armstrong 💕💕💕💕,2025-10-03T06:25:55Z,2025-10-03T06:25:55Z,0,0,,False,Rebecca Patricia Armstrong 💕💕💕💕,IT
UgwtRISG6AGWUNXJsW54AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@deea1173,UCoeFXtQUqvcXEKpV5UG-E0Q,Empress Aishwarya Rai bachchan reigning as usual......,2025-10-03T06:14:59Z,2025-10-03T06:14:59Z,0,0,,False,L'impératrice Aishwarya Rai bachchan règne en tant qu'habituelle ......,EN
UgyqoNOgnVfPozq-Geh4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@Youthhogaurav,UCTpN0rfwBSGXWxnwea7pylQ,Kendall make really worth it 🎉❤🥰,2025-10-03T05:26:16Z,2025-10-03T05:26:16Z,0,0,,False,Kendall en vaut vraiment la peine 🎉❤🥰🥰,EN
UgwFj_zE5Is--AMVnoZ4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@julietlino2495,UCzR4n_0EuJwoItFhNM_j6XQ,anita !!,2025-10-03T05:15:49Z,2025-10-03T05:15:49Z,0,0,,False,anita !,IT
UgxChC4DXeoQ_Xz9KG94AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@anujass916,UCI6wrGa3m6k2G5TZBOrVxgg,aiswarya rai :18:45,2025-10-03T03:56:18Z,2025-10-03T03:56:18Z,0,0,,False,aiswarya rai :18:45,ID
UgzgDZOklUoW6QwCimx4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@diegojcarmona8623,UCyqrYZ-l-NaQ0LYpsKGQAmg,Dani gracias por ser una inspiración 💘,2025-10-03T03:14:47Z,2025-10-03T03:14:47Z,0,0,,False,"Dani, merci d'être une source d'inspiration 💘",ES
Ugy1Rh4R3_yELRwRPbd4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@AmelFatma-s4f,UC2PyQeyCzrr6slca0Vu2FVQ,Eva langoria and yasmine sabri from egypt❤❤❤❤❤,2025-10-03T02:44:01Z,2025-10-03T02:44:01Z,0,0,,False,Eva langoria et Yasmine sabri d'Égypte❤❤❤❤❤,DA
UgyMjTFamXgXzr0lvwx4AaABAg,b2hKjZPwRsA,Le Défilé L’Oréal Paris 2025 Paris Fashion Week,UCoC8wK7Hbj1saQUBlFVaJkA,L'Oréal Paris USA,@Lilaclovie3,UCof39LnZ8BsIairpyzWv07A,Aishwarya Rai. &lt;3,2025-10-03T02:22:45Z,2025-10-03T02:22:45Z,2,0,,False,Aishwarya Rai,ID
